amount,cost,ratio,duration,city,country,record,history,score
337.0,16.85,0.05,61,Magelang,Indonesia,0.75,16,0.318891275114
223.01,11.15,0.0499977579481,7,Kakamega,Kenya,1.0,15,0.670049683546
200.0,10.0,0.05,4,Bungoma,Kenya,1.0,0,0.0
50.0,2.5,0.05,1,Nairobi,Kenya,0.4,25,0.545877545483
200.21,10.01,0.0499975026222,6,Nkrankwanta,Ghana,1.0,0,0.0
200.0,10.0,0.05,24,Juja,Kenya,1.0,0,0.0
300.0,12.81,0.0427,9,Chikankata,Zambia,1.0,0,0.0
333.0,16.65,0.05,3,Budebu,Kenya,0.89,36,0.687826210967
409.01,20.45,0.049998777536,6,Eldoret,Kenya,1.0,39,0.0
629.6,31.48,0.05,3,UmojaNairobi,Kenya,0.89,57,0.566811730765
