amount,cost,ratio,duration,city,country,record,history,score
199.04,9.95,0.0499899517685,5,Nakuru,Kenya,0.97,35,0.275225293578
338.0,16.9,0.05,3,Lusaka,Zambia,1.0,17,0.30844863244
149.28,7.46,0.049973204716,5,Mombasa,Kenya,0.87,30,0.703629583128
368.5,18.43,0.050013568521,3,Berekum,Ghana,0.42,24,0.680419067293
595.0,29.75,0.05,37,Bandung,Indonesia,1.0,24,0.789287398876
195.0,9.75,0.05,3,Sunyani,Ghana,0.47,19,0.724324793414
226.04,11.3,0.0499911520085,10,Bechem,Ghana,0.89,44,0.363816226802
273.44,13.67,0.0499926857812,29,Eldoret-KamukunjiEstate,Kenya,0.72,69,0.540262556514
1977.0,98.36,0.0497521497218,9,Kiptangwanyi,Kenya,1.0,84,0.414158580205
244.01,12.2,0.0499979509037,4,PetionVille,Haiti,0.96,27,0.380751571539
428.3,42.91,0.100186784964,10,Nakuru,TeachersEstate,0.94,97,0.670002129853
199.74,9.99,0.0500150195254,9,Amantin,Ghana,0.95,22,0.0
840.0,42.0,0.05,5,Embakasi,Nairobi,1.0,50,0.7607439639
1230.0,61.5,0.05,14,Nairobi,Kenya,1.0,111,0.641277279544
149.28,7.46,0.049973204716,3,Nairobi,Kenya,0.5,16,0.0
300.01,15.0,0.0499983333889,60,MaukoBusia,Kenya,0.08,12,0.0
501.22,25.06,0.0499980048681,14,Berekum,Ghana,0.98,43,0.788684755076
1008.0,50.4,0.05,12,Nakuru,Kenya,0.49,103,0.260726795541
426.01,21.3,0.0499988263186,9,Kisumu,Kenya,1.0,20,0.535596923608
583.01,29.15,0.0499991423818,3,Berekum,Ghana,0.91,46,0.537514579517
592.0,29.6,0.05,24,Bobo-dioulasso,BurkinaFaso,1.0,20,0.720427465571
542.01,27.1,0.0499990775078,14,Busia,Kenya,1.0,68,0.538919705681
193.01,9.65,0.0499974094606,1,Kolanya,Kenya,1.0,13,0.0
82.75,4.14,0.0500302114804,1,Kasoa,Ghana,0.63,71,0.773910107171
859.0,42.95,0.05,21,Ouagadougou,BurkinaFaso,0.95,19,0.718168756988
303.0,15.15,0.05,24,Bobo-dioulasso,BurkinaFaso,0.86,7,0.52451931187
537.01,26.85,0.0499990689186,24,KahawaWest,Kenya,1.0,48,0.634040236285
301.0,15.05,0.05,7,Thika,Kenya,1.0,27,0.739299833679
303.01,15.15,0.0499983498894,36,Kitengela,Kenya,0.95,22,0.717922274264
367.14,18.36,0.0500081712698,11,Berekum,Ghana,1.0,22,0.671495192244
221.0,11.05,0.05,5,Ouagadougouu,BurkinaFaso,1.0,6,0.400212017573
458.52,35.11,0.0765724504929,10,Bobo-dioulasso,BurkinaFaso,1.0,23,0.239421439715
366.01,18.3,0.0499986339171,17,Magongo,Kenya,1.0,51,0.73868404535
100.2,5.01,0.05,2,DormaaAhenkro,Ghana,1.0,14,0.72423535643
470.0,23.5,0.05,18,BoboDioulasso,BurkinaFaso,0.92,12,0.477260735382
444.13,22.21,0.0500078805755,10,Nairobi,Kenya,0.93,108,0.34428936138
116.33,5.82,0.050030086822,1,Berekum,Ghana,0.43,49,0.519570088783
249.8,12.49,0.05,6,Elburgon,Kenya,0.36,39,0.715092037319
125.0,6.25,0.05,13,JakartaBarat,Indonesia,0.13,31,0.0
1320.07,66.0,0.0499973486255,12,Berekum,Ghana,0.96,28,0.73114171877
358.08,17.9,0.0499888293119,14,BoboDioulasso,BurkinaFaso,0.54,13,0.720007502416
150.0,7.5,0.05,10,KotaBandung,Indonesia,1.0,9,0.0
303.0,15.15,0.05,24,Bobo-dioulasso,BurkinaFaso,0.86,7,0.52451931187
347.0,17.35,0.05,15,Hounde,BurkinaFaso,1.0,9,0.408091035985
200.15,10.01,0.050012490632,17,BandahNkwanta,UpperWestRegion,0.62,13,0.591948756438
